[WARN] missing-site-url  (source: fields will be relative)
[WARN] missing-type /01_business_and_prd/product_requirements_document_prd/  (using fallback 'concept')
[WARN] missing-type /01_business_and_prd/product_vision_and_business_goals/  (using fallback 'concept')
[WARN] missing-type /02_user_and_ux/onboarding_and_gamification_mechanics/  (using fallback 'concept')
[WARN] missing-type /02_user_and_ux/user_roles_and_permissions/  (using fallback 'concept')
[WARN] missing-type /02_user_and_ux/ux_research_and_journey_flows/  (using fallback 'concept')
[WARN] missing-type /03_design_system_and_ui/high_fidelity_ui_prompts/  (using fallback 'concept')
[WARN] missing-type /03_design_system_and_ui/low_fidelity_wireframe_prompts/  (using fallback 'concept')
[WARN] missing-type /03_design_system_and_ui/screen_by_screen_ui_spec/  (using fallback 'concept')
[WARN] missing-type /03_design_system_and_ui/ux_latest_design_system/  (using fallback 'concept')
[WARN] missing-type /04_technical_architecture/backend_architecture_and_apis/  (using fallback 'concept')
[WARN] missing-type /04_technical_architecture/database_schema_and_orm/  (using fallback 'concept')
[WARN] missing-type /04_technical_architecture/frontend_architecture_flutter_react/  (using fallback 'concept')
[WARN] missing-type /04_technical_architecture/security_and_compliance/  (using fallback 'concept')
[WARN] missing-type /05_ai_integration/ai_integration_and_prompt_engineering_guide/  (using fallback 'concept')
[WARN] missing-type /06_testing_and_qa/testing_strategy_and_qa_plan/  (using fallback 'concept')
[WARN] missing-type /07_crm_and_engagement/crm_strategy_and_member_engagement/  (using fallback 'concept')
[WARN] missing-type /08_marketing/marketing_website_copy_and_content_plan/  (using fallback 'concept')
[WARN] missing-type /09_pitch_and_presentation/pitch_deck_and_presentation_script/  (using fallback 'concept')
[WARN] orphan-concept 01-business-and-prd-product-requirements-document-prd  (no inbound links)
[WARN] orphan-concept 01-business-and-prd-product-vision-and-business-goals  (no inbound links)
[WARN] orphan-concept 02-user-and-ux-onboarding-and-gamification-mechanics  (no inbound links)
[WARN] orphan-concept 02-user-and-ux-user-roles-and-permissions  (no inbound links)
[WARN] orphan-concept 02-user-and-ux-ux-research-and-journey-flows  (no inbound links)
[WARN] orphan-concept 03-design-system-and-ui-high-fidelity-ui-prompts  (no inbound links)
[WARN] orphan-concept 03-design-system-and-ui-low-fidelity-wireframe-prompts  (no inbound links)
[WARN] orphan-concept 03-design-system-and-ui-screen-by-screen-ui-spec  (no inbound links)
[WARN] orphan-concept 03-design-system-and-ui-ux-latest-design-system  (no inbound links)
[WARN] orphan-concept 04-technical-architecture-backend-architecture-and-apis  (no inbound links)
[WARN] orphan-concept 04-technical-architecture-database-schema-and-orm  (no inbound links)
[WARN] orphan-concept 04-technical-architecture-frontend-architecture-flutter-react  (no inbound links)
[WARN] orphan-concept 04-technical-architecture-security-and-compliance  (no inbound links)
[WARN] orphan-concept 05-ai-integration-ai-integration-and-prompt-engineering-guide  (no inbound links)
[WARN] orphan-concept 06-testing-and-qa-testing-strategy-and-qa-plan  (no inbound links)
[WARN] orphan-concept 07-crm-and-engagement-crm-strategy-and-member-engagement  (no inbound links)
[WARN] orphan-concept 08-marketing-marketing-website-copy-and-content-plan  (no inbound links)
[WARN] orphan-concept 09-pitch-and-presentation-pitch-deck-and-presentation-script  (no inbound links)
